Albania,Lek albański
Anglia,Funt brytyjski
Austria,Euro
Belgia,Euro
Brazylia,Real brazylijski
Bułgaria,Lew bułgarski
Chorwacja,Euro
Czechy,Korona czeska
Dania,Korona duńska
Finlandia,Euro
Francja,Euro
Grecja,Euro
Hiszpania,Euro
Holandia,Euro
Irlandia,Euro
Islandia,Korona islandzka
Litwa,Euro
Malta,Euro
Maroko,Dirham marokański
Monako,Euro
Niemcy,Euro
Norwegia,Korona norweska
Peru,Sol peruwiański
Polska,Złoty
Portugalia,Euro
RPA,Rand południowoafrykański
Singapur,Dolar singapurski
Szwajcaria,Frank szwajcarski
Szwecja,Korona szwedzka
Węgry,Forint węgierski
Włochy,Euro